pattern_id	length	difficulty	entry	exit	layout
1	1	2	[0,1,2,3,4,5,6,7,8]	[0,1,2,3,4,5,6,7,8]	{ type: [2], animal:[[1,4,7]], trainSize:[0], trainDeสlay:[0], direction:[[-1,1]]}
2	1	2	[0,1,2,3,4,5,6,7,8]	[0,1,2,3,4,5,6,7,8]	{ type: [2], animal:[[0,4,8]], trainSize:[0], trainDelay:[0], direction:[[-1,1]]}
3	2	3	[0,1,2,3,4,5,6,7,8]	[0,1,2,3,4,5,6,7,8]	{ type: [2,2], animal:[[0,4,8],[1,5]], trainSize:[0,0], trainDelay:[0,0], direction:[[-1,1],[-1,1]]}
4	3	3	[0,1,2,3,4,5,6,7,8]	[0,1,2,3,4,5,6,7,8]	{ type: [2,2,2], animal:[[0,5],[3,8],[0,8]], trainSize:[0,0,0], trainDelay:[0,0,0], direction:[[-1,1],[-1,1],[-1,1]]}
5	3	3	[0,1,2,3,4,5,6,7,8]	[0,1,2,3,4,5,6,7,8]	{ type: [2,2,2], animal:[[4],[1,8],[0,8]], trainSize:[0,0,0], trainDelay:[0,0,0], direction:[[-1,1],[-1,1],[-1,1]]}
6	1	2	[0,1,2,3,4,5,6,7,8]	[0,1,2,3,4,5,6,7,8]	{ type: [3], animal:[[]], trainSize:[3], trainDelay:[3], direction:[[-1,1]]}
7	4	4	[0,1,2,3,4,5,6,7,8]	[0,1,2,3,4,5,6,7,8]	{ type: [3,2,3,2], animal:[[],[1,2,6,7],[],[0,3,5,8]], trainSize:[3,0,3,0], trainDelay:[3,0,3,0], direction:[[-1,1],[-1,1],[-1,1],[-1,1]]}
8	3	3	[0,1,2,3,4,5,6,7,8]	[0,1,2,3,4,5,6,7,8]	{ type: [2,2,3], animal:[[4,7],[2,3,8],[]], trainSize:[0,0,3], trainDelay:[0,0,3], direction:[[-1,1],[-1,1],[-1,1]]}
9	3	4	[0,1,2,3,4,5,6,7,8]	[0,1,2,3,4,5,6,7,8]	{ type: [3,2,3], animal:[[],[1,4,7],[]], trainSize:[3,0,3], trainDelay:[3,0,3], direction:[[-1,1],[-1,1],[-1,1]]}
10	4	3	[0,1,2,3,4,5,6,7,8]	[0,1,2,3,4,5,6,7,8]	{ type: [2,2,2,2], animal:[[2,3,8],[1,2,6,7],[4],[0,3,8]], trainSize:[0,0,0,0], trainDelay:[0,0,0,0], direction:[[-1,1],[-1,1],[-1,1],[-1,1]]}
