pattern_id	length	difficulty	entry	exit	layout
1	5	1	[0,1,2,3,4,6,7,8]	[0,1,3,4,5,7,8]	{type: [1,1,1,1,1] tree:[[3,7],[2,6],[2,4,6],[1,7],[4]]}
2	5	1	[0,2,3,4,6,7,8]	[1,3,4,5,6,8]	{type: [1,1,1,1,1] tree:[[0,2,7],[4],[1,8],[3,7],[1,5]]}
3	3	1	[1,2,3,5,6,7]	[1,2,3,5,6,7]	{type: [1,1,1] tree:[[0,4,8],[0,4,8],[0,4,8]]}
4	2	1	[0,1,2,3,4,5,6,7,8]	[0,1,2,3,4,5,6,7,8]	{type: [1,1] tree:[[],[]]}
5	5	1	[0,1,3,4,6,7,8]	[0,1,3,4,6,7]	{type: [1,1,1,1,1] tree:[[1,2,5],[4,8],[0,2,4,6],[7],[2,5]]}
6	3	1	[0,1,2,3,4,5,6,7,8]	[0,1,2,3,4,5,6,7,8]	{type: [1,1,1] tree:[[],[1,3,5,7],[]]}
7	3	1	[0,1,2,3,4,5,6,7,8]	[0,1,2,3,4,5,6,7,8]	{type: [1,1,1] tree:[[],[0,2,4,6,8],[]]}
8	1	1	[4,5,6,7,8]	[4,5,6,7,8]	{type: [1] tree:[[0,1,2,3]]}
9	1	1	[0,1,2,3,4]	[0,1,2,3,4]	{type: [1] tree:[[5,6,7,8]]}
10	6	2	[0,1,2,3,5,6,7]	[1,2,3,5,7]	{type: [1,1,1,1,1,1] tree:[[0,4,6,8],[2],[1,5],[7],[1,3,5],[4,8]]}
11	3	2	[1,3,4,5,7]	[0,2,4,6,8]	{type: [1,1,1] tree:[[1,3,5,7],[],[0,2,6,8]]}
12	5	2	[0,2,3,4,6,7,8]	[0,2,3,4,6,8]	{type: [1,1,1,1,1] tree:[[1,5,7],[3],[0,7],[4],[1,5]]}
13	5	2	[0,1,2,4,5,7,8]	[0,1,2,4,5,6,7,8]	{type: [1,1,1,1,1] tree:[[3],[1,6,8],[4],[1,8],[3,6]]}
14	5	3	[0,1,2,4,6,8]	[0,1,3,5,6,7,8]	{type: [1,1,1,1,1] tree:[[2,4],[0,6],[2,8],[1],[3,5,7]]}
15	5	3	[0,1,2,3,5,6,7,8]	[0,1,3,5,6,8]	{type: [1,1,1,1,1] tree:[[2,4,7],[],[1,3,6],[0,8],[4]]}
16	5	5	[0,1,2,3,5.6,8]	[0,1,4,5,6,7]	{type: [1,1,1,1,1] tree:[[2,3,8],[1],[6],[1,5],[4,7]]}
17	5	3	[2,4,5,7,8]	[0,1,4,5,6,7,8]	{type: [1,1,1,1,1] tree:[[2,3],[0,4,8],[0,6],[5,8],[0,1,3,6]]}
18	5	4	[2,3,4,7]	[0,1,3,5,6,8]	{type: [1,1,1,1,1] tree:[[2,4,7],[1],[4,6,8],[3],[0,1,5,6,8]]}
19	5	2	[0,1,3,4,7,8]	[0,2,4,5,7]	{type: [1,1,1,1,1] tree:[[1,3,6,8],[5,8],[],[0,5,8],[2,5,6]]}
20	5	4	[0,1,4,5,7]	[0,1,3,4,6,7]	{type: [1,1,1,1,1] tree:[[2,5,8],[0,3,5],[8],[0,5],[2,3,6,8]]}
21	5	3	[0,1,2,3,4,5,7,8]	[1,2,3,4,5,6,7]	{type: [1,1,1,1,1] tree:[[0,8],[0,4,5,7],[1,4],[2,7],[6]]}
22	5	3	[1,2,5,6,8]	[1,2,5,7]	{type: [1,1,1,1,1] tree:[[0,3,4,6,8],[3,6],[1,5],[3],[0,3,4,7]]}
23	5	3	[1,3,4,6,7]	[1,3,4,5,6,8]	{type: [1,1,1,1,1] tree:[[0,2,7],[5],[0,2,4,8],[6],[0,2,5,8]]}
24	5	4	[0,1,2,4,6,7,8]	[1,3,4,5,7]	{type: [1,1,1,1,1] tree:[[0,2,4,6,8],[],[1,7],[0,3,5,8],[3,5]]}
25	5	3	[1,2,3,5,6,7]	[0,1,2,6,7,8]	{type: [1,1,1,1,1] tree:[[3,4,5],[0,8],[0,2,4,6,8],[0,2,6,8],[0,4,8]]}
