pattern_id	length	difficulty	entry	exit	layout
1	5	1	[1,4,5,7]	[1,2,5,7,8]	{type:[4,4,4,4,4],lotus:[[1,2,5,7,8],[2,5,7],[2,4,5,7,8],[1,2,4,7],[1,4,5,7]], log:[[],[],[],[],[]], croc:[[],[],[],[],[]] fixCrocDirection:[[],[],[],[],[]] direction:[[0],[0],[0],[0],[0]]}
2	5	1	[0,1,4,5]	[4,5,8]	{type:[4,4,4,4,4],lotus:[[4,5,8],[3,4,7,8],[2,3,6,7],[1,2,5,6],[0,1,4,5]], log:[[],[],[],[],[]], croc:[[],[],[],[],[]] fixCrocDirection:[[],[],[],[],[]] direction:[[0],[0],[0],[0],[0]]}
3	3	3	[0,1,4,5]	[0,3,4,7,8]	{type:[5,5,5],lotus:[[],[],[]], log:[[0,3,4,7,8],[2,3,6,7],[0,1,4,5]], croc:[[],[],[]] fixCrocDirection:[[],[],[]] direction:[[-1,1],[-1,1],[-1,1]]}
4	2	3	[1,2,5,6]	[0,1,4,5]	{type:[5,5],lotus:[[],[]], log:[[0,1,4,5],[1,2,5,6]], croc:[[],[]] fixCrocDirection:[[],[]] direction:[[-1,1],[-1,1]]}
5	5	4	[1,2,3,6,7]	[1,3,4,7,8]	{type:[4,5,5,5,4],lotus:[[1,3,4,7,8],[],[],[],[1,2,3,6,7]], log:[[],[3,4,6,7],[1,2,4,5],[0,1,7,8],[]], croc:[[],[],[],[],[]] fixCrocDirection:[[],[],[],[],[]] direction:[[0],[-1,1],[-1,1],[-1,1],[0]]}
6	3	1	[0,1,4,7,8]	[1,3,5,8]	{type:[4,4,4],lotus:[[1,3,5,8],[0,1,3,4,5,7,8],[0,1,4,7,8]], log:[[],[],[]], croc:[[],[],[]] fixCrocDirection:[[],[],[]] direction:[[0],[0],[0]]}
7	3	3	[0,1,3,4,7,8]	[0,1,4,5,7]	{type:[5,5,5],lotus:[[],[],[]], log:[[0,1,4,5,7],[1,2,4,6,7],[0,1,3,4,7,8]], croc:[[],[],[]] fixCrocDirection:[[],[],[]] direction:[[-1,1],[-1,1],[-1,1]]}
8	1	2	[0,1,3,4]	[0,1,3,4]	{type:[5],lotus:[[]], log:[[0,1,3,4]], croc:[[]] fixCrocDirection:[[]] direction:[[-1,1]]}
9	1	2	[4,5,7,8]	[4,5,7,8]	{type:[5],lotus:[[]], log:[[4,5,7,8]], croc:[[]] fixCrocDirection:[[]] direction:[[-1,1]]}
10	1	3	[3,4,6,7]	[3,4,6,7]	{type:[6],lotus:[[]], log:[[]], croc:[[4,7]] fixCrocDirection:[[1,1,1]] direction:[[1]]}
11	1	3	[1,2,4,5]	[1,2,4,5,]	{type:[6],lotus:[[]], log:[[]], croc:[[1,4]] fixCrocDirection:[[-1,-1,-1]] direction:[[-1]]}
12	3	4	[1,2,5,6]	[4,7,8]	{type:[5,5,6],lotus:[[],[],[]], log:[[1,4,7,8],[0,4,5,7,8],[]], croc:[[],[],[6]] fixCrocDirection:[[],[],[1]] direction:[[-1,1],[-1,1],[1]]}
13	3	4	[0,1,4,5]	[0,1,5,8]	{type:[4,5,6],lotus:[[0,1,5,8],[],[]], log:[[],[0,3,4,7],[]], croc:[[],[],[0,4]] fixCrocDirection:[[],[],[-1]] direction:[[0],[-1,1],[-1]]}
14	3	4	[1,2,5,7]	[0,1,3,5,7,8]	{type:[5,6,5],lotus:[[],[],[]], log:[[0,1,3,5,7,8],[],[1,2,5,7]], croc:[[],[4,7],[]] fixCrocDirection:[[],[1],[]] direction:[[0],[1],[0]]}
15	3	4	[0,3,7,8]	[2,3,5,6]	{type:[6,5,4],lotus:[[],[],[0,3,7,8]], log:[[],[1,3,4,7],[]], croc:[[3,6],[],[]] fixCrocDirection:[[1],[],[]] direction:[[1],[0],[0]]}
